C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/04/24,02:00:00,0000000307082275,,0000000307082274
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",3,4111
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",4,3969
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",5,3883
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",6,3767
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",7,3708
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",8,3686
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",9,3644
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",10,3731
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",11,3836
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",12,4056
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",13,4319
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",14,4643
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",15,4852
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",16,5034
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",17,5117
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",18,5108
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",19,5116
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",20,5045
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",21,5012
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",22,5011
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",23,4988
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",24,4985
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",25,4996
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",26,5007
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",27,5030
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",28,4991
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",29,5008
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",30,4942
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",31,4995
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",32,5119
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",33,5214
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",34,5312
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",35,5482
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",36,5650
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",37,5766
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",38,5683
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",39,5560
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",40,5433
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",41,5285
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",42,5167
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",43,5032
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",44,4877
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",45,4725
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",46,4642
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",47,4803
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",48,4746
C,"END OF REPORT",243
